CATIMA dE/dx table for genfit  (A=3 Z=1 in matA=2)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.116401 MeV 1.13235 0 19.9321 mm 0.195348 mm 0 mm
0.118104 MeV 1.13781 0 20.1579 mm 0.196969 mm 0 mm
0.119831 MeV 1.14324 0 20.3859 mm 0.1986 mm 0 mm
0.121584 MeV 1.14865 0 20.6162 mm 0.200242 mm 0 mm
0.123363 MeV 1.15402 0 20.8487 mm 0.201895 mm 0 mm
0.125168 MeV 1.15936 0 21.0835 mm 0.203559 mm 0 mm
0.126999 MeV 1.16467 0 21.3207 mm 0.205235 mm 0 mm
0.128857 MeV 1.16993 0 21.5603 mm 0.206924 mm 0 mm
0.130742 MeV 1.17516 0 21.8022 mm 0.208625 mm 0 mm
0.132655 MeV 1.18034 0 22.0467 mm 0.210339 mm 0 mm
0.134595 MeV 1.18548 0 22.2936 mm 0.212066 mm 0 mm
0.136564 MeV 1.19058 0 22.543 mm 0.213807 mm 0 mm
0.138562 MeV 1.19562 0 22.795 mm 0.215562 mm 0 mm
0.140589 MeV 1.20061 0 23.0497 mm 0.217332 mm 0 mm
0.142646 MeV 1.20556 0 23.307 mm 0.219116 mm 0 mm
0.144733 MeV 1.21044 0 23.567 mm 0.220916 mm 0 mm
0.14685 MeV 1.21528 0 23.8297 mm 0.222733 mm 0 mm
0.148999 MeV 1.22004 0 24.0953 mm 0.224565 mm 0 mm
0.151178 MeV 1.22474 0 24.3637 mm 0.226415 mm 0 mm
0.15339 MeV 1.22939 0 24.6349 mm 0.228282 mm 0 mm
0.155634 MeV 1.23396 0 24.9091 mm 0.230167 mm 0 mm
0.157911 MeV 1.23846 0 25.1863 mm 0.23207 mm 0 mm
0.160221 MeV 1.2429 0 25.4666 mm 0.233993 mm 0 mm
0.162565 MeV 1.24725 0 25.7499 mm 0.235935 mm 0 mm
0.164943 MeV 1.25154 0 26.0364 mm 0.237897 mm 0 mm
0.167356 MeV 1.25574 0 26.3261 mm 0.239881 mm 0 mm
0.169804 MeV 1.25985 0 26.6191 mm 0.241885 mm 0 mm
0.172289 MeV 1.26389 0 26.9154 mm 0.243913 mm 0 mm
0.174809 MeV 1.26783 0 27.215 mm 0.245962 mm 0 mm
0.177366 MeV 1.27168 0 27.5182 mm 0.248036 mm 0 mm
0.179961 MeV 1.27545 0 27.8248 mm 0.250134 mm 0 mm
0.182594 MeV 1.27911 0 28.135 mm 0.252257 mm 0 mm
0.185265 MeV 1.28269 0 28.4489 mm 0.254405 mm 0 mm
0.187975 MeV 1.28615 0 28.7665 mm 0.256581 mm 0 mm
0.190725 MeV 1.28951 0 29.0879 mm 0.258784 mm 0 mm
0.193516 MeV 1.29277 0 29.4131 mm 0.261015 mm 0 mm
0.196347 MeV 1.29592 0 29.7423 mm 0.263275 mm 0 mm
0.199219 MeV 1.29896 0 30.0755 mm 0.265566 mm 0 mm
0.202133 MeV 1.30187 0 30.4128 mm 0.267887 mm 0 mm
0.205091 MeV 1.30467 0 30.7543 mm 0.270241 mm 0 mm
0.208091 MeV 1.30736 0 31.1001 mm 0.272628 mm 0 mm
0.211135 MeV 1.30992 0 31.4502 mm 0.275049 mm 0 mm
0.214224 MeV 1.31234 0 31.8048 mm 0.277505 mm 0 mm
0.217358 MeV 1.31466 0 32.1639 mm 0.279998 mm 0 mm
0.220538 MeV 1.31683 0 32.5276 mm 0.282528 mm 0 mm
0.223764 MeV 1.31888 0 32.8961 mm 0.285097 mm 0 mm
0.227038 MeV 1.32078 0 33.2694 mm 0.287706 mm 0 mm
0.230359 MeV 1.32255 0 33.6476 mm 0.290356 mm 0 mm
0.233729 MeV 1.32418 0 34.0309 mm 0.293049 mm 0 mm
0.237148 MeV 1.32566 0 34.4193 mm 0.295787 mm 0 mm
0.240618 MeV 1.327 0 34.813 mm 0.29857 mm 0 mm
0.244138 MeV 1.3282 0 35.2121 mm 0.3014 mm 0 mm
0.247709 MeV 1.32924 0 35.6166 mm 0.304279 mm 0 mm
0.251333 MeV 1.33013 0 36.0268 mm 0.307207 mm 0 mm
0.25501 MeV 1.33086 0 36.4427 mm 0.310187 mm 0 mm
0.258741 MeV 1.33144 0 36.8645 mm 0.313222 mm 0 mm
0.262526 MeV 1.33187 0 37.2923 mm 0.316315 mm 0 mm
0.266366 MeV 1.33213 0 37.7263 mm 0.319463 mm 0 mm
0.270263 MeV 1.33222 0 38.1666 mm 0.322655 mm 0 mm
0.274217 MeV 1.33216 0 38.6132 mm 0.325881 mm 0 mm
0.278229 MeV 1.33193 0 39.0665 mm 0.329139 mm 0 mm
