CATIMA dE/dx table for genfit  (A=1 Z=1 in matA=2.014)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.121584 MeV 1.2876 0 16.4082 mm 0.231003 mm 0 mm
0.123363 MeV 1.28402 0 16.6158 mm 0.23346 mm 0 mm
0.125168 MeV 1.28026 0 16.8271 mm 0.235959 mm 0 mm
0.126999 MeV 1.27633 0 17.0422 mm 0.2385 mm 0 mm
0.128857 MeV 1.27224 0 17.261 mm 0.241086 mm 0 mm
0.130742 MeV 1.26797 0 17.4838 mm 0.243718 mm 0 mm
0.132655 MeV 1.26353 0 17.7107 mm 0.246398 mm 0 mm
0.134595 MeV 1.25895 0 17.9416 mm 0.249127 mm 0 mm
0.136564 MeV 1.25418 0 18.1769 mm 0.251907 mm 0 mm
0.138562 MeV 1.24927 0 18.4164 mm 0.25474 mm 0 mm
0.140589 MeV 1.24418 0 18.6605 mm 0.257628 mm 0 mm
0.142646 MeV 1.23894 0 18.9092 mm 0.260573 mm 0 mm
0.144733 MeV 1.23356 0 19.1626 mm 0.263577 mm 0 mm
0.14685 MeV 1.22801 0 19.4208 mm 0.266642 mm 0 mm
0.148999 MeV 1.22231 0 19.684 mm 0.26977 mm 0 mm
0.151178 MeV 1.21648 0 19.9524 mm 0.272963 mm 0 mm
0.15339 MeV 1.21049 0 20.2259 mm 0.276224 mm 0 mm
0.155634 MeV 1.20437 0 20.5049 mm 0.279554 mm 0 mm
0.157911 MeV 1.19811 0 20.7894 mm 0.282957 mm 0 mm
0.160221 MeV 1.19171 0 21.0797 mm 0.286434 mm 0 mm
0.162565 MeV 1.18518 0 21.3757 mm 0.289989 mm 0 mm
0.164943 MeV 1.17852 0 21.6778 mm 0.293623 mm 0 mm
0.167356 MeV 1.17174 0 21.986 mm 0.297341 mm 0 mm
0.169804 MeV 1.16484 0 22.3006 mm 0.301144 mm 0 mm
0.172289 MeV 1.15782 0 22.6217 mm 0.305035 mm 0 mm
0.174809 MeV 1.15069 0 22.9495 mm 0.309018 mm 0 mm
0.177366 MeV 1.14344 0 23.2842 mm 0.313095 mm 0 mm
0.179961 MeV 1.13609 0 23.6259 mm 0.31727 mm 0 mm
0.182594 MeV 1.12864 0 23.9749 mm 0.321546 mm 0 mm
0.185265 MeV 1.12109 0 24.3314 mm 0.325926 mm 0 mm
0.187975 MeV 1.11345 0 24.6955 mm 0.330415 mm 0 mm
0.190725 MeV 1.10571 0 25.0676 mm 0.335014 mm 0 mm
0.193516 MeV 1.09789 0 25.4477 mm 0.339729 mm 0 mm
0.196347 MeV 1.08999 0 25.8362 mm 0.344562 mm 0 mm
0.199219 MeV 1.08201 0 26.2332 mm 0.349518 mm 0 mm
0.202133 MeV 1.07396 0 26.6391 mm 0.354601 mm 0 mm
0.205091 MeV 1.06584 0 27.054 mm 0.359815 mm 0 mm
0.208091 MeV 1.05765 0 27.4782 mm 0.365164 mm 0 mm
0.211135 MeV 1.04941 0 27.9119 mm 0.370653 mm 0 mm
0.214224 MeV 1.04111 0 28.3555 mm 0.376285 mm 0 mm
0.217358 MeV 1.03275 0 28.8092 mm 0.382066 mm 0 mm
0.220538 MeV 1.02435 0 29.2733 mm 0.388 mm 0 mm
0.223764 MeV 1.0159 0 29.748 mm 0.394093 mm 0 mm
0.227038 MeV 1.00742 0 30.2338 mm 0.400348 mm 0 mm
