   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    64.000 MeV  3.8583E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  3.8088E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  3.7608E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  3.7140E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  3.6686E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  3.6243E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  3.5813E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  3.5394E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  3.4986E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  3.4588E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  3.4200E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  3.3822E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  3.3453E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  3.3094E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  3.2743E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  3.2400E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  3.2065E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  3.1738E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  3.1418E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  3.1106E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  3.0801E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  3.0502E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  3.0210E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  2.9924E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    88.000 MeV  2.9645E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  2.9371E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  2.9103E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    91.000 MeV  2.8840E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  2.8583E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  2.8331E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    94.000 MeV  2.8084E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  2.7842E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  2.7605E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    97.000 MeV  2.7372E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  2.7144E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  2.6920E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  2.6700E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  2.6484E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  2.6273E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  2.6065E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  2.5861E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  2.5661E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  2.5464E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  2.5270E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  2.5080E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  2.4894E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  2.4710E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  2.4530E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  2.4352E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
