   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   201.000 MeV  1.0584E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   202.000 MeV  1.0542E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   203.000 MeV  1.0499E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   204.000 MeV  1.0458E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   205.000 MeV  1.0416E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   206.000 MeV  1.0375E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   207.000 MeV  1.0334E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   208.000 MeV  1.0294E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   209.000 MeV  1.0254E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   210.000 MeV  1.0214E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   211.000 MeV  1.0175E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   212.000 MeV  1.0136E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   213.000 MeV  1.0097E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   214.000 MeV  1.0059E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   215.000 MeV  1.0021E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   216.000 MeV  9.9833E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   217.000 MeV  9.9460E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   218.000 MeV  9.9090E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   219.000 MeV  9.8724E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   220.000 MeV  9.8360E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   221.000 MeV  9.8000E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   222.000 MeV  9.7642E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   223.000 MeV  9.7288E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   224.000 MeV  9.6937E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   225.000 MeV  9.6589E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   226.000 MeV  9.6243E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   227.000 MeV  9.5901E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   228.000 MeV  9.5561E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   229.000 MeV  9.5224E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   230.000 MeV  9.4890E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   231.000 MeV  9.4559E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   232.000 MeV  9.4230E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   233.000 MeV  9.3904E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   234.000 MeV  9.3581E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   235.000 MeV  9.3260E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   236.000 MeV  9.2941E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   237.000 MeV  9.2626E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   238.000 MeV  9.2313E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
