   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   169.000 MeV  9.6831E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   170.000 MeV  9.6371E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   171.000 MeV  9.5916E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   172.000 MeV  9.5465E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   173.000 MeV  9.5019E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   174.000 MeV  9.4579E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   175.000 MeV  9.4143E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   176.000 MeV  9.3712E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   177.000 MeV  9.3285E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   178.000 MeV  9.2863E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   179.000 MeV  9.2445E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   180.000 MeV  9.2032E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   181.000 MeV  9.1623E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   182.000 MeV  9.1218E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   183.000 MeV  9.0817E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   184.000 MeV  9.0421E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   185.000 MeV  9.0029E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   186.000 MeV  8.9640E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   187.000 MeV  8.9255E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   188.000 MeV  8.8875E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   189.000 MeV  8.8498E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   190.000 MeV  8.8125E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   191.000 MeV  8.7755E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   192.000 MeV  8.7389E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   193.000 MeV  8.7027E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   194.000 MeV  8.6668E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   195.000 MeV  8.6313E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   196.000 MeV  8.5961E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   197.000 MeV  8.5613E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   198.000 MeV  8.5268E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   199.000 MeV  8.4926E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   200.000 MeV  8.4587E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   201.000 MeV  8.4252E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   202.000 MeV  8.3919E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   203.000 MeV  8.3590E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   204.000 MeV  8.3264E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   205.000 MeV  8.2941E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   206.000 MeV  8.2620E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   207.000 MeV  8.2303E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   208.000 MeV  8.1989E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   209.000 MeV  8.1677E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
