   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    97.000 MeV  4.4385E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  4.4019E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  4.3659E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  4.3305E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  4.2957E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  4.2615E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  4.2278E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  4.1947E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  4.1621E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  4.1301E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  4.0986E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  4.0675E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  4.0370E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  4.0069E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  3.9773E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  3.9482E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   113.000 MeV  3.9195E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  3.8912E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  3.8634E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  3.8360E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  3.8090E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  3.7824E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  3.7561E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  3.7300E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  3.7042E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   122.000 MeV  3.6786E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  3.6533E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  3.6284E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  3.6039E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  3.5797E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  3.5558E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  3.5323E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  3.5091E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  3.4862E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  3.4636E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  3.4413E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  3.4193E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  3.3976E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   135.000 MeV  3.3762E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
