   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    91.000 MeV  6.5762E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  6.5135E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  6.4521E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    94.000 MeV  6.3920E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  6.3330E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  6.2752E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    97.000 MeV  6.2185E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  6.1630E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  6.1085E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  6.0550E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  6.0025E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  5.9510E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  5.9004E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  5.8508E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  5.8020E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  5.7542E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  5.7071E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  5.6610E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  5.6156E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  5.5710E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  5.5271E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  5.4841E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   113.000 MeV  5.4417E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  5.4000E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  5.3591E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  5.3188E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  5.2792E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  5.2402E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  5.2018E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  5.1641E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  5.1270E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
