   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    54.000 MeV  6.3079E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  6.2077E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  6.1109E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  6.0174E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  5.9269E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  5.8393E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  5.7546E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  5.6724E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  5.5929E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  5.5157E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    64.000 MeV  5.4409E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  5.3682E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  5.2977E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  5.2293E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  5.1627E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  5.0981E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  5.0352E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  4.9741E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  4.9146E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  4.8567E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  4.8003E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  4.7454E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  4.6919E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  4.6398E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  4.5890E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  4.5395E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  4.4912E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  4.4440E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  4.3980E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  4.3531E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  4.3093E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  4.2665E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  4.2247E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  4.1838E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
