   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    42.000 MeV  3.0813E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  3.0222E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  2.9656E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  2.9114E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  2.8594E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  2.8095E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  2.7615E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  2.7154E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  2.6710E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  2.6283E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  2.5871E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  2.5474E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    54.000 MeV  2.5090E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  2.4720E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  2.4362E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  2.4016E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  2.3681E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  2.3357E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  2.3043E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  2.2739E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  2.2444E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  2.2157E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    64.000 MeV  2.1880E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  2.1610E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  2.1348E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  2.1094E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  2.0846E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  2.0606E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  2.0371E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  2.0144E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  1.9922E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  1.9705E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  1.9495E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  1.9290E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  1.9089E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  1.8894E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  1.8704E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  1.8518E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  1.8336E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  1.8159E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  1.7986E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  1.7816E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  1.7651E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  1.7489E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  1.7331E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  1.7176E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    88.000 MeV  1.7025E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  1.6877E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  1.6732E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    91.000 MeV  1.6590E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  1.6451E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  1.6315E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
