x,y,z,pad,mult,rank
206.146,-22.8395,379.909,5988,1,0
211.054,-19.8703,370.577,5989,1,0
215.962,-22.8395,367.527,5990,1,0
220.871,-19.8703,360.742,5991,1,0
-83.44,-28.3038,406.829,6075,1,0
-78.5318,-31.2053,362.609,6079,1,0
-7.36236,-26.9547,385.602,6136,1,0
83.44,-28.3038,596.92,6211,1,0
117.798,-28.3038,470.582,6238,1,0
120.252,-26.9547,466.988,6240,1,0
125.16,-26.9547,464.317,6245,1,0
130.068,-26.9547,456.591,6248,1,0
134.976,-26.9547,454.308,6253,1,0
137.431,-28.3038,449.023,6254,1,0
139.885,-26.9547,447.456,6256,1,0
142.339,-31.3408,445.962,6257,1,0
147.247,-28.3716,441.506,6258,1,0
157.064,-28.3716,431.132,6260,1,0
166.88,-28.3716,419.675,6262,1,0
176.697,-28.3716,410.463,6264,1,0
186.513,-28.3716,398.714,6266,1,0
-63.8071,-39.7067,361.951,6369,1,0
-39.2659,-39.7067,392.089,6388,1,0
4.90822,-39.7067,478.876,6425,1,0
17.1788,-41.0558,344.452,6435,1,0
39.2659,-39.7067,394.865,6452,1,0
110.435,-49.5571,486.746,6782,1,0
-112.889,-56.7093,784.4,6865,1,0
93.2565,-53.8078,351.211,7032,1,0
17.1788,-60.9599,326.038,7230,1,0
46.6282,-60.9599,378.114,7254,1,0
68.7153,-62.3091,380.877,7271,1,0
161.972,-65.3461,469.929,7322,1,0
31.9035,-69.4613,324.512,7494,1,0
71.1694,-69.4613,444.361,7526,1,0
-14.7247,-79.3117,441.876,7701,1,0
58.8988,-79.3117,356.296,7760,1,0
78.5318,-82.2132,532.055,7777,1,0
-58.8988,-87.813,383.351,7903,1,0
-7.62939e-06,-87.813,497.27,7951,1,0
24.5412,-87.813,524.68,7970,1,0
-137.431,-96.3821,791.64,8091,1,0
-100.619,-94.9652,344.995,8099,1,0
-7.36236,-100.565,358.784,8175,1,0
7.36235,-100.565,477.598,8186,1,0
137.431,-96.3821,333.651,8270,1,0
191.421,-99.3513,345.99,8281,1,0
-71.1694,-109.066,401.856,8346,1,0
-171.788,-116.354,764.793,8529,1,0
-132.522,-116.354,365.075,8537,1,0
-14.7247,-116.218,911.812,8607,1,0
132.522,-116.354,442.649,8702,1,0
-152.155,-121.886,367.282,8744,1,0
-68.7153,-121.818,750.826,8772,1,0
-12.2706,-120.469,348.552,8817,1,0
230.687,-121.886,358.624,8927,1,0
-56.4447,-128.97,793.005,8981,1,0
-53.9906,-133.221,792.393,8983,1,0
-26.9953,-134.57,350.383,9006,1,0
53.9906,-133.221,441.613,9071,1,0
73.6235,-130.32,420.753,9088,1,0
-152.155,-138.889,371.228,9142,1,0
-29.4494,-141.858,349.844,9167,1,0
29.4494,-141.858,347.839,9179,1,0
-201.238,-150.359,789.427,9226,1,0
68.7153,-147.39,342.926,9281,1,0
44.1741,-155.891,367.605,9368,1,0
186.513,-164.393,440.62,9487,1,0
-171.788,-184.364,403.377,9585,1,0
122.706,-189.897,350.935,9726,1,0
24.5412,-201.367,370.542,9784,1,0
-112.889,-206.899,800.124,9831,1,0
-14.7247,-206.899,368.587,9851,1,0
-9.81648,-232.403,359.204,10048,1,0
-3.8147e-06,-243.874,367.598,10106,1,0
