eid,x,y,z,q
3,49.0824,14.2027,372.677,1756.57
3,36.8118,-1.45075,371.184,534.553
3,51.5365,18.4534,371.227,1204.51
3,56.4447,26.9547,372.119,210.185
3,53.9906,22.704,371.777,703.851
3,56.4447,24.0532,371.962,1135.22
3,53.9906,19.8025,371.552,2364.86
3,56.4447,18.4534,371.466,3815.5
3,58.8988,19.8025,371.665,2978.82
3,61.3529,18.4534,371.76,982.7
3,61.3529,24.0532,372.269,1456.78
3,58.8988,28.3038,372.484,427.955
3,61.3529,26.9547,372.279,787.787
3,63.8071,28.3038,371.934,199.508
3,63.8071,22.704,371.808,409.222
3,49.0824,2.7999,371.634,124.283
3,36.8118,7.05056,371.772,786.391
3,31.9035,1.45075,370.973,1925.06
3,85.8941,18.4534,372.196,84.7126
3,39.2659,-2.7999,371.185,176.763
3,31.9035,7.05056,370.911,240.426
3,41.72,-1.45075,371.513,194.964
3,44.1741,11.3012,372.128,789.429
3,49.0824,5.70141,372.3,1051.33
3,34.3577,5.70141,371.247,799.846
3,41.72,7.05056,371.787,2301.76
3,44.1741,2.7999,371.992,888.886
3,39.2659,5.70141,371.844,1922.91
3,76.0776,24.0532,372.7,104.161
3,46.6282,7.05056,372.498,2396.16
3,41.72,9.95207,372.146,779.33
3,24.5412,-5.70141,370.474,211.563
3,22.0871,1.45075,369.285,319.968
3,24.5412,2.7999,369.885,856.612
3,29.4494,5.70141,370.329,297.361
3,22.0871,-1.45075,369.316,298.941
3,26.9953,1.45075,370.27,1509.59
3,49.0824,19.8025,369.445,121.936
3,29.4494,2.7999,370.589,1251.06
3,44.1741,14.2027,370.807,137.122
3,24.5412,-2.7999,369.766,1188.62
3,26.9953,-1.45075,370.221,1419.71
3,29.4494,-2.7999,370.55,615.823
3,46.6282,15.5519,370.761,278.891
3,24.5412,5.70141,369.741,150.972
3,31.9035,-1.45075,370.455,1031.12
3,206.146,-62.3768,189.666,50.2803
3,-245.412,-62.3768,141.319,71.1822
4,22.0871,9.95207,978.891,3357.87
4,14.7247,5.70141,979.785,2782.12
4,63.8071,31.2053,975.068,1960.27
4,66.2612,24.0532,975.343,2303.84
4,29.4494,22.704,973.132,187.847
4,22.0871,18.4534,973.709,785.304
4,19.6329,19.8025,973.741,412.787
4,22.0871,15.5519,972.557,656.048
4,19.6329,14.2027,971.232,1005.15
4,24.5412,19.8025,949.813,258.897
4,66.2612,26.9547,949.723,446.266
4,63.8071,22.704,949.056,351.492
4,68.7153,22.704,944.675,1985.45
4,24.5412,11.3012,944.964,1916.19
4,36.8118,24.0532,938.41,1457.92
4,17.1788,15.5519,909.706,890.74
4,34.3577,22.704,885.971,885.17
4,68.7153,31.2053,869.774,698.59
4,17.1788,7.05056,870.196,667.463
4,66.2612,35.456,870.077,299.728
4,24.5412,14.2027,865.747,126.524
4,71.1694,24.0532,828.639,697.843
4,22.0871,7.05056,829.08,1352.72
4,24.5412,14.2027,774.082,176.819
4,66.2612,32.5545,746.584,219.302
4,26.9953,9.95207,713.708,211.513
4,24.5412,14.2027,681.705,164.726
4,24.5412,5.70141,667.573,807.48
4,26.9953,7.05056,659.79,125.107
4,63.8071,14.2027,646.94,555.368
4,9.81648,2.7999,642.529,564.733
4,26.9953,9.95207,608.446,255.96
4,24.5412,2.7999,565.607,486.261
4,39.2659,11.3012,566.469,287.259
4,24.5412,14.2027,564.462,102.147
4,22.0871,1.45075,555.789,54.5305
4,26.9953,7.05056,548.838,275.218
4,31.9035,-1.45075,529.237,291.705
4,63.8071,11.3012,529.315,380.606
4,26.9953,9.95207,477.29,178.544
4,24.5412,2.7999,466.07,670.071
4,26.9953,7.05056,454.199,268.85
4,39.2659,11.3012,433.103,396.198
4,22.0871,1.45075,432.516,107.678
4,31.9035,-1.45075,430.822,288.507
4,31.9035,-7.05056,394.006,183.422
4,26.9953,7.05056,344.772,205.219
4,26.9953,1.45075,316.742,101.778
4,22.0871,1.45075,296.573,278.432
4,24.5412,-2.7999,261.227,77.775
4,31.9035,-7.05056,254.603,149.377
4,26.9953,7.05056,230.919,123.741
4,22.0871,1.45075,204.391,311.125
4,73.6235,11.3012,151.392,125.699
4,14.7247,-2.7999,152.634,144.597
4,24.5412,-2.7999,112.645,150.07
5,-34.3577,-11.3012,978.338,152.244
5,-9.81648,-2.7999,978.195,69.468
5,-76.0777,15.5519,977.375,115.238
5,-26.9953,1.45075,977.758,85.0946
5,-22.0871,-7.05056,977.266,109.142
5,-34.3577,-5.70141,977.483,325.74
5,-76.0777,24.0532,977.108,561.073
5,-78.5318,14.2027,977.579,2216.59
5,-36.8118,7.05056,977.144,705.466
5,-76.0777,18.4534,977.057,453.483
5,-78.5318,11.3012,977.565,1476.97
5,-12.2706,-1.45075,977.248,503.372
5,-63.8071,19.8025,977.824,240.314
