eid,x,y,z,q
4,24.5412,-2.7999,110.049,150.07
5,-29.4494,-2.7999,979.04,37.6518
5,-34.3577,-11.3012,978.988,152.244
5,-9.81648,-2.7999,978.793,69.468
5,-63.8071,19.8025,978.511,240.314
5,-78.5318,11.3012,978.305,1476.97
5,-12.2706,-1.45075,977.815,503.372
5,-76.0777,18.4534,977.725,453.483
5,-36.8118,7.05056,977.844,705.466
5,-78.5318,14.2027,978.164,2216.59
5,-76.0777,24.0532,977.746,561.073
5,-34.3577,-5.70141,978.099,325.74
5,-66.2612,15.5519,978.398,152.821
5,-41.72,-1.45075,978.258,248.783
5,-26.9953,1.45075,978.375,85.0946
5,-22.0871,-7.05056,977.953,109.142
5,-76.0777,15.5519,978.004,115.238
5,-46.6282,9.95207,975.555,4081.38
5,-93.2565,19.8025,962.462,311.421
5,-44.1741,11.3012,963.512,2097.62
5,-88.3482,22.704,962.428,1929.21
5,-88.3482,28.3038,962.537,1946.37
5,-29.4494,5.70141,963.915,104.991
5,-36.8118,-9.95207,962.456,1345.8
5,-44.1741,5.70141,962.802,127.851
5,-90.8024,24.0532,961.786,149.585
5,-85.8941,24.0532,961.331,77.8101
5,-39.2659,2.7999,962.358,542.989
5,-90.8024,15.5519,961.498,98.642
5,-22.0871,1.45075,962.357,211.762
5,-44.1741,-5.70141,962.07,950.972
5,-90.8024,18.4534,962.262,1004.33
5,-44.1741,-11.3012,962.351,585.568
5,-26.9953,7.05056,944.445,122.728
5,-80.9859,24.0532,944.645,2565.35
5,-83.44,19.8025,944.635,2374.5
5,-31.9035,1.45075,942.996,296.702
5,-41.72,-1.45075,941.845,486.351
5,-41.72,-7.05056,942.184,1015.27
5,-83.44,14.2027,942.05,553.399
5,-41.72,7.05056,942.295,274.812
5,-31.9035,7.05056,940.837,248.169
5,-85.8941,15.5519,939.446,107.3
5,-80.9859,18.4534,938.825,244.058
5,-41.72,9.95207,936.343,3228.68
5,-44.1741,14.2027,928.755,3013.3
5,-90.8024,32.5545,927.977,49.7082
5,-103.073,14.2027,925.594,222.841
5,-80.9859,9.95207,925.814,440.345
5,-115.344,26.9547,925.704,184.437
5,-95.7106,9.95207,925.969,407.982
5,-115.344,32.5545,925.892,444.026
5,-88.3483,36.8052,924.814,147.868
5,-88.3483,39.7067,925.609,131.069
5,-39.2659,11.3012,921.022,3502.23
5,-39.2659,14.2027,920.526,4352.68
5,-41.72,15.5519,920.04,3893.37
5,-22.0871,-7.05056,912.038,65.6328
5,-63.8071,19.8025,912.045,135.841
5,-29.4494,-2.7999,912.832,88.5648
5,-24.5412,5.70141,912.315,298.752
5,-66.2612,9.95207,911.213,104.864
5,-85.8941,41.0558,904.441,503.87
5,-24.5412,14.2027,903.98,27.7082
5,-98.1647,31.2053,901.921,44.4659
5,-46.6282,24.0532,898.876,128.811
5,-31.9035,18.4534,899.979,578.647
5,-88.3482,31.2053,899.672,738.53
5,-85.8941,35.456,899.543,1377.16
5,-83.44,39.7067,897.995,160.477
5,-49.0824,22.704,897.335,82.4148
5,-95.7106,32.5545,896.522,46.0316
5,-36.8118,15.5519,894.033,4396.72
5,-34.3577,14.2027,879.216,3426.5
5,-26.9953,15.5519,877.27,59.458
5,-78.5318,28.3038,877.252,114.324
5,-19.6329,14.2027,877.115,236.318
5,-76.0777,35.456,877.599,131.075
5,-19.6329,19.8025,877.244,418.256
5,-51.5365,18.4534,876.382,1399.68
5,-73.6235,31.2053,876.185,117.135
5,-22.0871,15.5519,875.633,82.3549
5,-76.0777,26.9547,875.878,343.534
5,-63.8071,31.2053,873.37,357.916
5,-36.8118,18.4534,874.509,2651.19
5,-39.2659,22.704,873.438,46.757
5,-22.0871,18.4534,874.777,825.575
5,-73.6235,36.8052,872.244,609.596
5,-29.4494,14.2027,866.463,701.924
5,-66.2612,26.9547,866.206,78.251
5,-85.8941,32.5545,861.12,233.857
5,-29.4494,11.3012,860.663,125.388
5,-34.3577,19.8025,857.994,2973.61
5,-31.9035,18.4534,856.572,3394.45
5,-31.9035,15.5519,856.187,3696.19
5,-34.3577,11.3012,846.051,175.859
5,-31.9035,9.95207,844.869,230.465
5,-93.2565,36.8052,842.749,488.255
5,-93.2565,39.7067,842.407,480.832
5,-95.7106,32.5545,841.768,164.115
5,-90.8024,41.0558,839.455,85.9084
5,-98.1647,31.2053,841.758,231.956
5,-83.44,39.7067,839.702,329.317
5,-85.8941,35.456,837.118,763.367
5,-88.3482,31.2053,837.508,1193.74
5,-85.8941,41.0558,835.347,447.369
5,-46.6282,24.0532,835.395,1280.29
5,-90.8024,32.5545,834.181,133.194
5,-88.3483,36.8052,834.356,121.351
5,-29.4494,19.8025,828.439,3599.06
5,265.045,-5.83687,825.093,78.7311
5,269.953,-2.86764,825.999,86.3442
5,-29.4494,14.2027,824.704,450.288
5,260.136,-2.86764,820.763,51.0292
5,-26.9953,18.4534,815.963,3445.19
5,255.228,-5.83687,812.725,77.1989
5,-73.6235,28.3038,812.45,879.087
5,-49.0824,22.704,812.013,124.656
5,-17.1788,26.9547,807.828,29.495
5,-61.353,26.9547,813.019,285.161
5,-68.7153,36.8052,812.139,281.606
