eid,x,y,z,q
2,-12.2706,-120.469,772.624,28.35
2,-14.7247,-206.899,773.724,26.85
2,-103.073,28.3038,771.734,35.5
2,-51.5365,9.95207,771.396,37.65
2,-215.962,22.8395,772.916,25.95
2,230.687,-121.886,771.277,25.4
2,-83.44,-28.3038,765.743,30.2
2,-14.7247,-79.3117,765.336,31.65
2,58.8988,73.7119,768.56,30.7
2,49.0824,82.2132,768.827,29.25
2,191.421,-99.3513,767.661,32.5
2,-12.2706,-1.45075,767.84,30.3
2,137.431,-96.3821,767.57,27.75
2,9.81648,-19.8025,766.232,30.65
2,-78.5318,-31.2053,764.038,29.05
2,191.421,104.883,763.604,23
2,117.798,53.8078,763.044,24.65
2,-88.3482,11.3012,766.036,35.25
2,122.706,-189.897,765.455,25.9
2,-2.45413,52.4586,763.942,27.3
2,-49.0824,164.393,765.953,24.65
2,-26.9953,-134.57,765.741,33.75
2,-29.4494,-141.858,766.304,26.8
2,68.7153,99.2159,765.09,30.15
2,68.7153,-147.39,763.597,24.15
2,29.4494,-141.858,765.517,27.6
2,2.4541,52.4586,763.968,27.05
2,12.2706,100.565,763.974,34.25
2,-166.88,11.369,763.639,26.6
2,93.2565,-53.8078,761.55,27.4
2,49.0824,28.3038,761.05,26.25
2,7.36234,77.9626,760.28,30.2
2,-24.5412,-19.8025,756.6,29.8
2,-3.8147e-06,-243.874,758.262,24.85
2,-49.0824,158.861,753.31,25.05
2,-152.155,-121.886,753.857,24.95
2,-14.7247,-116.218,748.973,28.15
2,-171.788,19.8703,751.186,27.95
2,-36.8118,-15.5519,742.317,29.5
2,122.706,45.3065,741.169,22.55
2,73.6235,22.704,741.171,28.85
2,93.2565,31.2053,735.668,30.45
2,24.5412,-201.367,736.503,29.9
2,17.1788,100.565,727.451,28.25
2,-17.1788,86.4639,725.751,37.8
2,-2.45413,35.456,722.119,26.65
2,68.7153,53.8078,723.036,22.9
2,44.1741,36.8052,722.977,24.35
2,-9.81648,-232.403,704.582,30.7
2,-100.619,-94.9652,658.129,33
2,58.8988,-79.3117,648.026,35.15
2,-71.1694,-109.066,647.326,35.55
2,68.7153,-62.3091,644.497,35.25
2,-7.36236,-26.9547,645.253,35.8
2,-9.81648,-19.8025,643.252,28.25
2,-63.8071,-39.7067,636.364,28.8
2,46.6282,-24.0532,619.027,27.85
2,196.329,-22.8395,614.026,31.2
2,4.90822,-39.7067,610.696,36.7
2,-39.2659,-39.7067,607.209,32.15
2,171.788,2.86764,606.747,31.15
2,7.36235,-100.565,603.424,36.4
2,39.2659,-39.7067,598.997,31.6
2,147.247,11.3012,597.111,31.55
2,196.329,-5.83687,597.779,30.25
2,206.146,-62.3768,590.499,67.2
2,186.513,-164.393,587.629,29.1
2,46.6282,-60.9599,575.472,30.7
2,83.44,-28.3038,577.253,29.25
2,250.32,-2.86764,573.953,30.55
2,132.522,-116.354,569.408,33
2,44.1741,189.897,568.184,28.45
2,71.1694,-69.4613,563.422,36.3
2,76.0776,-15.5519,559.033,35.5
2,24.5412,-87.813,554.435,36.35
2,171.788,19.8703,552.173,32.8
2,88.3483,-14.2027,551.763,33.05
2,-53.9906,-5.70141,553.191,33.7
2,98.1647,-19.8025,544.35,35.35
2,-19.6329,-22.704,538.122,27.95
2,53.9906,138.889,541.076,31.75
2,49.0824,-14.2027,537.158,34.05
2,-7.62939e-06,-87.813,534.331,34.6
2,161.972,-65.3461,532.288,32.05
2,49.0823,164.393,519.224,30.55
2,34.3576,167.362,517.209,33.9
2,206.146,141.858,516.478,30.5
2,110.435,-49.5571,508.29,27.9
2,9.81647,164.393,504.639,31.4
2,78.5318,-82.2132,497.855,36.7
2,58.8988,243.874,497.271,33.15
2,-147.247,28.3716,498.363,31.5
2,103.073,172.894,495.524,29.5
2,147.247,130.387,492.807,30.1
2,-98.1647,-19.8025,491.405,34.1
2,-171.788,2.86764,492.972,33.75
2,137.431,209.868,491.82,32.6
2,-186.513,28.3716,491.154,33.2
2,-245.412,-62.3768,489.286,67.2
2,120.252,-7.05056,466.134,33.75
2,-56.4447,58.0584,466.764,35.7
2,-78.5318,-5.70141,465.845,33.85
2,-73.6235,121.818,428.684,39.15
2,-61.3529,103.467,425.033,29.5
2,-44.1741,104.816,425.029,38.15
2,-49.0824,82.2132,423.156,24.9
2,-100.619,-9.95207,418.654,37.55
2,-39.2659,22.704,391.198,3712.55
2,-41.72,24.0532,389.367,3861.05
2,-68.7153,31.2053,384.046,325.25
2,-66.2612,35.456,383.954,2766.8
2,-26.9953,9.95207,383.912,601.2
2,-71.1694,26.9547,383.983,1899.3
2,-68.7153,36.8052,383.955,2911.6
2,-73.6235,22.704,383.944,979.75
2,-24.5412,19.8025,383.976,340.6
2,-71.1694,32.5545,383.925,207.8
2,-29.4494,19.8025,382.075,232.45
