psa,x,y,z,pad,mult,rank
max,-39.2659,19.8025,609.92,706,1,0
max,-36.8118,24.0532,611.76,707,1,0
max,-34.3577,22.704,611.76,710,1,0
max,-31.9035,18.4534,562.08,711,1,0
max,-29.4494,22.704,563.92,713,1,0
max,-29.4494,19.8025,563.92,714,1,0
max,-26.9953,24.0532,563.92,715,1,0
max,-26.9953,18.4534,563.92,716,1,0
max,-24.5412,19.8025,563.92,717,1,0
max,-24.5412,22.704,563.92,718,1,0
max,-22.0871,18.4534,562.08,719,1,0
max,-22.0871,24.0532,563.92,720,1,0
max,-19.6329,22.704,563.92,721,1,0
max,-17.1788,18.4534,510.56,724,1,0
max,-14.7247,19.8025,508.72,725,1,0
max,-14.7247,22.704,508.72,726,1,0
max,-12.2706,18.4534,510.56,727,1,0
max,-12.2706,24.0532,506.88,728,1,0
max,-9.81648,22.704,506.88,729,1,0
max,-9.81648,19.8025,506.88,730,1,0
max,-7.36236,24.0532,506.88,731,1,0
max,-2.45413,24.0532,449.84,736,1,0
max,-1.33514e-05,22.704,451.68,737,1,0
max,2.4541,24.0532,451.68,739,1,0
max,4.90825,22.704,385.44,742,1,0
max,7.36237,24.0532,383.6,744,1,0
max,9.81648,22.704,385.44,745,1,0
max,73.6235,22.704,247.44,798,1,0
max,98.1647,19.8025,276.88,818,1,0
max,125.16,24.0532,269.52,840,1,0
max,171.788,19.8703,620.96,861,1,0
max,-186.513,28.3716,854.64,899,1,0
max,-166.88,28.3716,431.44,903,1,0
max,-161.972,31.3408,431.44,904,1,0
max,-157.064,28.3716,492.16,905,1,0
max,-152.155,31.3408,492.16,906,1,0
max,-147.247,28.3716,547.36,907,1,0
max,-142.339,31.3408,547.36,908,1,0
max,-139.885,26.9547,543.68,909,1,0
max,-137.431,28.3038,541.84,910,1,0
max,-137.431,31.2053,547.36,911,1,0
max,-134.976,32.5545,598.88,913,1,0
max,-132.522,31.2053,598.88,914,1,0
max,-132.522,28.3038,598.88,915,1,0
max,-130.068,32.5545,598.88,916,1,0
max,-130.068,26.9547,598.88,917,1,0
max,-127.614,28.3038,598.88,918,1,0
max,-127.614,31.2053,598.88,919,1,0
max,-125.16,26.9547,598.88,920,1,0
max,-125.16,32.5545,598.88,921,1,0
max,-122.706,31.2053,600.72,922,1,0
max,-122.706,28.3038,598.88,923,1,0
max,-120.252,26.9547,598.88,925,1,0
max,-110.435,32.5545,643.04,932,1,0
max,-107.981,28.3038,643.04,934,1,0
max,-107.981,31.2053,643.04,935,1,0
max,-105.527,26.9547,644.88,936,1,0
max,-105.527,32.5545,643.04,937,1,0
max,-103.073,31.2053,644.88,938,1,0
max,-103.073,28.3038,644.88,939,1,0
max,-100.619,32.5545,644.88,940,1,0
max,-100.619,26.9547,644.88,941,1,0
max,-98.1647,28.3038,644.88,942,1,0
max,-98.1647,31.2053,644.88,943,1,0
max,-95.7106,26.9547,644.88,944,1,0
max,-95.7106,32.5545,644.88,945,1,0
max,-93.2565,31.2053,646.72,946,1,0
max,-93.2565,28.3038,646.72,947,1,0
max,-90.8024,32.5545,646.72,948,1,0
max,-90.8024,26.9547,646.72,949,1,0
max,-88.3482,28.3038,646.72,950,1,0
max,-88.3482,31.2053,646.72,951,1,0
max,-85.8941,26.9547,646.72,952,1,0
max,-83.44,31.2053,648.56,954,1,0
max,-83.44,28.3038,646.72,955,1,0
max,-80.9859,32.5545,648.56,956,1,0
max,-80.9859,26.9547,648.56,957,1,0
max,-78.5318,28.3038,648.56,958,1,0
max,-78.5318,31.2053,648.56,959,1,0
max,-76.0777,26.9547,648.56,960,1,0
max,-76.0777,32.5545,648.56,961,1,0
max,-73.6235,31.2053,648.56,962,1,0
max,-73.6235,28.3038,648.56,963,1,0
max,-71.1694,32.5545,650.4,964,1,0
max,-71.1694,26.9547,650.4,965,1,0
max,-68.7153,28.3038,650.4,966,1,0
max,-68.7153,31.2053,650.4,967,1,0
max,-66.2612,26.9547,650.4,968,1,0
max,-66.2612,32.5545,650.4,969,1,0
max,-63.8071,31.2053,650.4,970,1,0
max,-63.8071,28.3038,650.4,971,1,0
max,-61.353,32.5545,652.24,972,1,0
max,-58.8988,31.2053,654.08,975,1,0
max,-49.0824,31.2053,654.08,983,1,0
max,-41.72,26.9547,611.76,989,1,0
max,-39.2659,28.3038,611.76,990,1,0
max,-39.2659,31.2053,611.76,991,1,0
max,-36.8118,26.9547,611.76,992,1,0
max,-36.8118,32.5545,611.76,993,1,0
max,-34.3577,31.2053,611.76,994,1,0
max,-34.3577,28.3038,611.76,995,1,0
max,-31.9035,32.5545,611.76,996,1,0
max,-31.9035,26.9547,611.76,997,1,0
max,-29.4494,28.3038,654.08,998,1,0
max,-29.4494,31.2053,613.6,999,1,0
max,-24.5412,28.3038,563.92,1003,1,0
max,-22.0871,26.9547,563.92,1005,1,0
max,-19.6329,28.3038,563.92,1006,1,0
max,-19.6329,31.2053,562.08,1007,1,0
max,-17.1788,26.9547,560.24,1008,1,0
max,-17.1788,32.5545,560.24,1009,1,0
max,-14.7247,31.2053,562.08,1010,1,0
max,-12.2706,26.9547,506.88,1013,1,0
max,-9.81648,28.3038,506.88,1014,1,0
max,-9.81648,31.2053,506.88,1015,1,0
max,-7.36236,26.9547,506.88,1016,1,0
