pad,x,y
149,-1.33514e-05,5.70141
150,-1.33514e-05,2.7999
151,2.4541,7.05056
152,2.45413,1.45075
153,4.90825,2.7999
154,4.90825,5.70141
155,7.36237,1.45075
156,7.36237,7.05056
157,9.81648,5.70141
158,9.81648,2.7999
159,12.2706,7.05056
160,12.2706,1.45075
161,14.7247,2.7999
162,14.7247,5.70141
163,17.1788,1.45075
164,17.1788,7.05056
165,19.6329,5.70141
166,19.6329,2.7999
167,22.0871,7.05056
168,22.0871,1.45075
169,24.5412,2.7999
170,24.5412,5.70141
171,26.9953,1.45075
172,26.9953,7.05056
173,29.4494,5.70141
174,29.4494,2.7999
175,31.9035,7.05056
176,31.9035,1.45075
177,34.3577,2.7999
178,34.3577,5.70141
179,36.8118,1.45075
180,36.8118,7.05056
181,39.2659,5.70141
182,39.2659,2.7999
183,41.72,7.05056
184,41.72,1.45075
185,44.1741,2.7999
186,44.1741,5.70141
187,46.6282,1.45075
188,46.6282,7.05056
189,49.0824,5.70141
190,49.0824,2.7999
191,51.5365,7.05056
192,51.5365,1.45075
193,53.9906,2.7999
194,53.9906,5.70141
195,56.4447,1.45075
196,56.4447,7.05056
197,58.8988,5.70141
198,58.8988,2.7999
199,61.3529,7.05056
200,61.3529,1.45075
201,63.8071,2.7999
202,63.8071,5.70141
203,66.2612,1.45075
204,66.2612,7.05056
205,68.7153,5.70141
206,68.7153,2.7999
207,71.1694,7.05056
208,71.1694,1.45075
209,73.6235,2.7999
210,73.6235,5.70141
211,76.0776,1.45075
212,76.0776,7.05056
213,78.5318,5.70141
214,78.5318,2.7999
215,80.9859,7.05056
216,80.9859,1.45075
217,83.44,2.7999
218,83.44,5.70141
219,85.8941,1.45075
220,85.8941,7.05056
221,88.3483,5.70141
222,88.3483,2.7999
223,90.8024,7.05056
224,90.8024,1.45075
225,93.2565,2.7999
226,93.2565,5.70141
227,95.7106,1.45075
228,95.7106,7.05056
229,98.1647,5.70141
230,98.1647,2.7999
231,100.619,7.05056
232,100.619,1.45075
233,103.073,2.7999
234,103.073,5.70141
235,105.527,1.45075
236,105.527,7.05056
237,107.981,5.70141
238,107.981,2.7999
239,110.435,7.05056
240,110.435,1.45075
241,112.889,2.7999
242,112.889,5.70141
243,115.344,1.45075
244,115.344,7.05056
245,117.798,5.70141
246,117.798,2.7999
247,120.252,7.05056
248,120.252,1.45075
249,122.706,2.7999
250,122.706,5.70141
251,125.16,1.45075
252,125.16,7.05056
253,127.614,5.70141
254,127.614,2.7999
255,130.068,7.05056
256,130.068,1.45075
257,132.522,2.7999
258,132.522,5.70141
259,134.976,1.45075
260,134.976,7.05056
261,137.431,5.70141
262,137.431,2.7999
263,139.885,7.05056
264,139.885,1.45075
266,142.339,5.70141
267,144.793,1.45075
268,144.793,7.05056
269,147.247,5.70141
270,147.247,2.7999
272,149.701,1.45075
279,171.788,2.86764
280,176.697,5.83687
281,181.605,2.86764
284,196.329,5.83687
285,201.238,2.86764
286,206.146,5.83687
288,215.962,5.83687
292,235.595,5.83687
317,-186.513,11.369
319,-176.696,11.369
320,-171.788,14.3382
321,-166.88,11.369
322,-161.972,14.3382
323,-157.064,11.369
324,-152.155,14.3382
325,-149.701,9.95207
326,-147.247,11.3012
327,-147.247,14.2027
328,-144.793,9.95207
329,-144.793,15.5519
330,-142.339,14.2027
331,-142.339,11.3012
332,-139.885,15.5519
333,-139.885,9.95207
334,-137.431,11.3012
335,-137.431,14.2027
336,-134.976,9.95207
337,-134.976,15.5519
338,-132.522,14.2027
339,-132.522,11.3012
340,-130.068,15.5519
341,-130.068,9.95207
342,-127.614,11.3012
343,-127.614,14.2027
344,-125.16,9.95207
345,-125.16,15.5519
346,-122.706,14.2027
347,-122.706,11.3012
348,-120.252,15.5519
349,-120.252,9.95207
350,-117.798,11.3012
351,-117.798,14.2027
352,-115.344,9.95207
353,-115.344,15.5519
354,-112.889,14.2027
355,-112.889,11.3012
356,-110.435,15.5519
357,-110.435,9.95207
358,-107.981,11.3012
359,-107.981,14.2027
360,-105.527,9.95207
361,-105.527,15.5519
362,-103.073,14.2027
363,-103.073,11.3012
364,-100.619,15.5519
365,-100.619,9.95207
366,-98.1647,11.3012
367,-98.1647,14.2027
368,-95.7106,9.95207
369,-95.7106,15.5519
370,-93.2565,14.2027
371,-93.2565,11.3012
372,-90.8024,15.5519
373,-90.8024,9.95207
374,-88.3482,11.3012
375,-88.3482,14.2027
376,-85.8941,9.95207
377,-85.8941,15.5519
378,-83.44,14.2027
379,-83.44,11.3012
380,-80.9859,15.5519
381,-80.9859,9.95207
382,-78.5318,11.3012
383,-78.5318,14.2027
384,-76.0777,9.95207
385,-76.0777,15.5519
386,-73.6235,14.2027
387,-73.6235,11.3012
388,-71.1694,15.5519
389,-71.1694,9.95207
390,-68.7153,11.3012
391,-68.7153,14.2027
392,-66.2612,9.95207
393,-66.2612,15.5519
394,-63.8071,14.2027
395,-63.8071,11.3012
396,-61.353,15.5519
397,-61.353,9.95207
398,-58.8988,11.3012
399,-58.8988,14.2027
400,-56.4447,9.95207
401,-56.4447,15.5519
402,-53.9906,14.2027
403,-53.9906,11.3012
404,-51.5365,15.5519
405,-51.5365,9.95207
406,-49.0824,11.3012
407,-49.0824,14.2027
408,-46.6282,9.95207
409,-46.6282,15.5519
410,-44.1741,14.2027
411,-44.1741,11.3012
412,-41.72,15.5519
413,-41.72,9.95207
414,-39.2659,11.3012
415,-39.2659,14.2027
416,-36.8118,9.95207
417,-36.8118,15.5519
418,-34.3577,14.2027
419,-34.3577,11.3012
420,-31.9035,15.5519
421,-31.9035,9.95207
422,-29.4494,11.3012
423,-29.4494,14.2027
424,-26.9953,9.95207
425,-26.9953,15.5519
426,-24.5412,14.2027
427,-24.5412,11.3012
428,-22.0871,15.5519
429,-22.0871,9.95207
430,-19.6329,11.3012
431,-19.6329,14.2027
433,-17.1788,15.5519
434,-14.7247,14.2027
435,-14.7247,11.3012
